COUNTRY,INDICATOR,FREQUENCY,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Costa Rica,"Exports of goods and services, Volume, Free on board (FOB), Percent change",Annual,3.546,1.702,2.68,5.671,10.383,6.012,8.041,7.523,2.172,-8.462,9.327,7.048,5.564,3.312,4.964,2.888,9.417,6.955,4.891,4.261,-10.633,15.934,18.501,9.959,5.77,4.646,2.494
Dominican Republic,"Gross national savings, Percent of GDP",Annual,23.669,23.877,24.029,24.225,25.255,23.458,23.539,22.718,20.516,18.602,18.601,17.089,17.203,18.006,19.16,20.849,21.096,21.013,23.649,23.904,23.189,27.45,24.916,24.157,23.654,24.595,24.563
Guatemala,"Gross debt, General government, Percent of GDP",Annual,17.999,19.11,17.362,19.803,20.553,20.017,20.86,20.779,19.57,22.78,24.006,23.769,24.557,25.035,24.697,24.77,24.906,25.07,26.405,26.414,31.491,30.585,28.983,27.208,26.322,26.975,27.798
Dominican Republic,"Gross debt, General government, Percent of GDP",Annual,16.707,20.351,21.487,48.15,34.346,38.322,36.022,32.907,33.629,36.763,37.352,39.108,42.404,46.809,45.022,44.812,46.685,49.48,50.798,53.456,71.812,62.821,59.578,60.511,58.792,59.956,58.917
Dominican Republic,"Current account balance (credit less debit), Percent of GDP",Annual,-4.223,-2.894,-2.928,4.815,4.628,-1.316,-3.388,-4.916,-9.382,-4.77,-7.47,-7.514,-6.549,-4.1,-3.234,-1.802,-1.077,-0.168,-1.553,-1.331,-1.691,-2.825,-5.754,-3.658,-3.344,-2.493,-2.459
El Salvador,Unemployment rate,Annual,6.845,7.105,6.376,7.065,6.925,7.344,6.745,6.446,6.046,7.444,7.145,6.745,6.246,6.046,7.145,7.145,7.145,7.195,6.496,6.486,7.045,6.321,5.05,5.216,4.706,4.803,4.9
Dominican Republic,"Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change",Annual,10.632,-2.456,3.91,-19.951,-7.604,17.335,16.231,7.589,5.284,-10.287,37.975,-0.345,2.009,-4.362,6.439,18.232,8.914,-4.324,6.349,5.14,-12.856,19.906,13.968,-2,5.427,5.447,4.36
Dominican Republic,"Gross domestic product (GDP), Constant prices, Percent change",Annual,4.652,2.469,4.487,-1.349,2.586,9.432,9.171,7.418,3.268,1.003,8.401,3.192,2.776,4.935,7.111,6.988,6.72,3.934,7.098,4.894,-7.929,14.012,5.238,2.192,4.952,2.962,4.534
Ecuador,"Gross national savings, Percent of GDP",Annual,23.514,16.108,15.15,14.524,14.888,18.641,21.926,22.102,24.46,21.694,21.168,23.026,22.846,23.917,24.055,20.402,21.168,22.092,21.006,20.539,19.676,23.585,24.343,22.591,24.151,23.762,22.61
El Salvador,"All Items, Consumer price index (CPI), Period average, percent change",Annual,2.274,3.745,1.869,2.121,4.452,4.69,4.035,4.58,7.258,0.537,1.179,5.129,1.73,0.758,1.141,-0.731,0.604,1.014,1.088,0.074,-0.37,3.468,7.196,4.047,0.854,0.3,1
Ecuador,"Gross debt, General government, Percent of GDP",Annual,,63.803,55.043,47.198,40.2,35.758,33.094,29.648,24.873,19.667,18.436,18.607,19.341,23.426,28.163,36.438,46.066,47.391,49.505,52.064,63.551,61.756,57.203,54.332,53.754,,
El Salvador,"Gross debt, General government, Percent of GDP",Annual,29.551,37.842,43.8,45.962,46.813,46.286,52.559,52.197,54.212,65.778,66.794,65.598,69.994,69.655,71.791,73.464,75.214,77.136,76.961,77.906,95.365,87.955,83.657,85.088,87.514,87.622,86.909
Ecuador,"Gross domestic product (GDP), Constant prices, Percent change",Annual,1.092,4.206,4.928,2.885,6.832,5.399,4.341,1.902,6.565,1.091,4.029,8.481,5.783,7.211,4.226,0.12,-0.688,5.97,1.044,0.165,-9.245,9.422,5.868,1.988,-2.001,3.24,2
Ecuador,"All Items, Consumer price index (CPI), Period average, percent change",Annual,96.1,37.674,12.485,7.929,2.741,2.17,3.299,2.276,8.4,5.16,3.554,4.475,5.102,2.722,3.589,3.966,1.728,0.417,-0.224,0.266,-0.339,0.133,3.466,2.216,1.547,1.056,2.844
El Salvador,"Current account balance (credit less debit), Percent of GDP",Annual,-3.653,-1.224,-3.199,-5.302,-4.677,-4.229,-4.785,-7.151,-8.518,-1.774,-2.888,-5.481,-5.797,-6.905,-5.371,-3.216,-2.274,-1.86,-3.302,-0.422,1.11,-4.306,-6.726,-1.087,-1.789,-0.797,-1.823
El Salvador,"Gross capital formation, Percent of GDP",Annual,17.669,17.714,17.065,18.429,18.141,18.605,20.075,20.8,20.173,14.055,16.672,17.79,17.71,17.019,16.397,16.017,15.968,16.677,18.372,18.345,17.212,23.355,24.472,20.685,20.344,22.131,21.97
El Salvador,"Gross national savings, Percent of GDP",Annual,15.715,18.391,15.592,14.809,15.45,16.734,17.465,13.649,11.655,12.281,13.783,12.309,11.912,10.115,11.026,12.801,13.693,14.817,15.07,17.923,18.322,19.049,17.745,19.598,18.556,21.334,20.147
Dominican Republic,"Gross capital formation, Percent of GDP",Annual,27.893,26.771,26.957,19.409,20.627,24.773,26.927,27.633,29.898,23.372,26.071,24.603,23.753,22.106,22.395,22.651,22.173,21.181,25.202,25.235,24.88,30.275,30.671,27.815,26.998,27.088,27.022
Dominican Republic,"Exports of goods and services, Volume, Free on board (FOB), Percent change",Annual,14.072,-3.992,0.393,8.384,-0.458,2.914,3.964,3.956,-13.08,-12.239,36.754,4.975,7.394,9.469,12.048,9.164,8.262,3.005,4.203,-0.684,-30.849,25.463,14.95,3.342,6.046,-1.252,4.242
Ecuador,"Gross capital formation, Percent of GDP",Annual,17.167,18.491,19.656,15.773,16.25,17.465,18.118,18.318,21.566,21.173,23.49,23.532,23.013,24.883,24.706,22.686,20.246,22.48,22.54,21.049,17.585,20.748,22.406,20.651,18.482,18.861,19.25
Dominican Republic,"Structural balance, General government, Percent",Annual,-2.032,-1.774,-1.951,-4.372,-2.41,-0.405,-1.355,-0.388,-4.09,-2.434,-3.17,-3.06,-6.157,-3.091,-5.061,-4.57,-4.1,-3.923,-3.684,-3.381,-8.055,-4.509,-3.546,-4.551,-5.642,-4.241,-3.611
Ecuador,"Structural balance, General government, Percent",Annual,,0.009,0.802,1.423,1.798,0.442,2.695,1.688,-2.172,-1.391,-0.354,-1.494,-4.218,-9.588,-9.283,-8.745,-11.146,-5.893,-3.658,-3.605,-4.949,-1.213,-0.897,-3.519,-0.719,,
Paraguay,Unemployment rate,Annual,7.61,6.206,9.393,6.814,6.513,4.825,5.277,4.713,4.415,5.46,4.569,4.67,4.085,4.385,5.034,4.556,5.255,6.138,6.217,6.569,7.708,7.51,6.724,5.886,5.807,5.2,5.2
Panama,"Gross debt, General government, Percent of GDP",Annual,53.569,57.803,56.963,56.457,58.761,59.31,54.722,47.424,40.02,39.054,38.097,35.633,34.033,33.727,34.722,34.239,33.606,33.561,35.581,39.83,61.522,54.412,52.732,51.23,57.381,59.598,60.274
Panama,"All Items, Consumer price index (CPI), Period average, percent change",Annual,1.446,0.314,0.998,0.058,0.475,2.86,2.458,4.169,8.759,2.409,3.491,5.876,5.698,4.027,2.623,0.137,0.74,0.876,0.762,-0.355,-1.55,1.631,2.86,1.486,0.794,-0.051,2
Mexico,"Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change",Annual,21.031,-0.298,3.614,3.012,7.027,5.926,7.707,5.743,3.812,-16.387,17.111,6.235,5.648,3.63,5.962,4.949,2.534,5.649,5.604,-1.081,-11.991,15.748,8.627,3.674,2.759,1.626,2.605
Mexico,"Gross national savings, Percent of GDP",Annual,19.738,18.077,18.879,20.354,21.581,20.899,22.248,22.227,22.715,22.508,22.992,23.394,22.968,20.287,20.472,21.137,22.07,22.095,21.413,21.852,22.634,21.361,21.48,23.194,23.222,23.115,22.677
Honduras,"Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change",Annual,-3.919,7.662,2.097,3.424,6.299,-0.993,7.057,14.248,0.339,-14.725,-2.22,7.654,5.004,0.716,6.462,28.201,3.918,1.252,1.987,0.15,-6.537,15.69,1.156,9.208,3.12,11.178,4.432
Haiti,"Current account balance (credit less debit), Percent of GDP",Annual,-1.677,-2.099,-1.467,-0.92,-1.033,0.098,-1.133,-0.901,-1.953,-1.054,-0.859,-2.488,-3.145,-3.763,-4.959,-1.826,-1.7,-2.161,-2.881,-1.14,0.355,0.417,-2.481,-3.482,-0.574,0.028,-0.567
Mexico,"Structural balance, General government, Percent",Annual,-2.445,-0.113,1.205,0.938,0.571,-0.436,-0.943,-1.389,-1.28,-2.64,-3.547,-3.779,-4.32,-3.955,-4.473,-4.254,-3.783,-2.34,-2.731,-2.618,-3.092,-3.196,-4.044,-4.524,-6.042,-4.379,-4.169
Mexico,"Gross debt, General government, Percent of GDP",Annual,38.455,37.315,39.866,42.133,38.906,36.841,35.777,35.529,40.605,41.667,40.155,41.167,40.815,44.066,47.093,50.973,55.003,52.521,52.202,51.869,58.456,56.695,53.803,52.638,58.311,58.855,59.907
El Salvador,"Exports of goods and services, Volume, Free on board (FOB), Percent change",Annual,13.155,-1.436,4.425,3.136,2.044,3.137,7.747,2.388,1.145,-10.408,13.251,6.91,0.638,6.282,2.04,3.893,0.952,3.358,1.181,8.159,-24.218,29.411,11.492,5.114,12.052,2.42,1.725
Haiti,"All Items, Consumer price index (CPI), Period average, percent change",Annual,6.446,15.489,6.555,22.238,25.71,14.111,12.972,6.913,12.511,5.597,2.921,5.242,5.699,5.299,3.155,5.317,11.435,10.61,11.416,17.308,22.945,15.941,27.576,44.1,25.844,27.821,26.169
Honduras,"Gross capital formation, Percent of GDP",Annual,28.288,26.001,24.258,25.281,29.666,27.623,28.342,33.665,36.066,20.599,21.88,26,24.564,21.76,22.184,25.118,23.377,24.821,26.572,22.968,19.666,24.231,26.326,22.186,22.492,22.427,22.905
Honduras,Unemployment rate,Annual,3.918,4,4.02,5.3,5.99,4.909,3.575,3.211,3.156,3.292,4.119,4.474,3.754,4.096,5.488,6.147,6.727,5.528,5.648,5.386,10.912,8.569,8.9,8.082,8.005,8,8
Honduras,"Gross debt, General government, Percent of GDP",Annual,65.758,63.417,64.248,67.757,60.906,55.606,39.202,24.022,22.323,23.79,28.926,31.536,32.436,42.091,43.028,42.252,40.295,43.598,43.541,44.15,52.451,50.263,51.047,47.852,47.073,45.091,44.133
Haiti,"Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change",Annual,-0.384,1.393,-3.772,7.94,-0.377,7.503,9.827,6.507,7.745,6.442,43.464,-5.211,-7.377,8.65,8.872,5.578,1.869,8.83,5.256,-9.522,-5.983,3.563,-6.28,1.544,-10.464,7.7,-1.012
Haiti,"Gross national savings, Percent of GDP",Annual,6.919,6.187,6.832,11.552,9.747,11.845,11.846,11.127,11.1,11.553,24.13,16.587,14.364,13.741,11.562,12.227,15.235,18.052,15.828,19.182,18.058,18.465,13.381,10.372,9.365,5.514,4.466
Guatemala,"Current account balance (credit less debit), Percent of GDP",Annual,-5.791,-6.138,-5.754,-4.416,-4.662,-4.403,-4.868,-5.098,-3.861,0.19,-1.848,-3.332,-3.701,-4.225,-3.301,-1.244,0.965,1.197,0.886,2.361,5.049,2.167,1.167,3.078,2.944,3.9,2.23
Mexico,"Current account balance (credit less debit), Percent of GDP",Annual,-2.527,-2.197,-1.529,-0.527,-0.465,-0.624,-0.317,-0.845,-1.407,-0.751,-0.34,-0.858,-1.41,-2.394,-1.821,-2.599,-2.273,-1.797,-2.064,-0.297,2.397,-0.347,-1.29,-0.7,-0.902,-0.249,-0.344
Honduras,"Current account balance (credit less debit), Percent of GDP",Annual,-7.155,-6.255,-3.584,-6.718,-7.652,-2.976,-3.7,-9.03,-15.341,-3.816,-5.077,-7.954,-8.534,-9.53,-6.946,-4.671,-3.144,-1.246,-6.572,-2.624,2.852,-5.463,-6.698,-3.881,-4.42,-0.412,-2.532
Guatemala,"Gross domestic product (GDP), Constant prices, Percent change",Annual,2.5,3.104,3.839,2.56,3.138,3.276,5.351,6.338,3.294,0.477,2.884,4.164,2.975,3.695,4.444,4.092,2.678,3.08,3.407,4.018,-1.786,8.042,4.185,3.533,3.652,3.83,3.6
Guatemala,"Exports of goods and services, Volume, Free on board (FOB), Percent change",Annual,8.634,4.732,-0.29,2.804,8.15,-1.383,4.659,9.584,-0.466,-1.821,5.799,2.9,1.951,5.975,6.927,2.838,2.359,1.49,-0.37,0.232,-7.526,10.335,7.52,-2.414,2.208,2.054,1.716
Haiti,"Gross domestic product (GDP), Constant prices, Percent change",Annual,0.87,-0.343,1.052,3.481,-1.318,3.072,1.769,4.707,2.658,5.89,-5.652,5.098,0.502,4.325,1.723,2.563,1.812,2.51,1.668,-1.685,-3.343,-1.798,-1.682,-1.864,-4.17,-3.1,-1.2
Honduras,"Gross domestic product (GDP), Constant prices, Percent change",Annual,7.291,2.723,3.754,4.547,6.232,6.051,6.567,6.188,4.232,-2.432,3.731,3.836,4.129,2.792,3.058,3.84,3.893,4.843,3.845,2.56,-8.965,12.565,4.144,3.576,3.554,3.8,3.5
Honduras,"Exports of goods and services, Volume, Free on board (FOB), Percent change",Annual,1.309,9.095,12.495,0.834,10.24,3.274,0.15,4.175,2.452,-9.436,6.83,5.647,14.72,0.955,6.802,4.796,0.36,3.707,-2.084,3.295,-16.864,17.007,-3.637,9.953,-1.381,7.076,3.282
Guatemala,"All Items, Consumer price index (CPI), Period average, percent change",Annual,5.976,7.294,8.134,5.602,7.573,9.111,6.561,6.822,11.351,1.862,3.95,6.197,3.8,4.341,3.423,2.388,4.45,4.423,3.752,3.701,3.212,4.263,6.882,6.209,2.869,1.691,3.337
Guatemala,"Structural balance, General government, Percent",Annual,-2.133,-2.441,-1.128,-2.399,-0.966,-1.518,-1.858,-1.913,-2.046,-3.216,-3.139,-2.397,-2.493,-2.257,-2.061,-1.631,-1.162,-1.399,-1.86,-2.213,-4.233,-1.055,-1.691,-1.282,-0.996,-2.638,-2.682
Honduras,"All Items, Consumer price index (CPI), Period average, percent change",Annual,11.048,9.666,7.702,7.671,8.114,8.809,5.578,6.936,11.403,5.496,4.699,6.762,5.196,5.162,6.129,3.158,2.725,3.934,4.347,4.366,3.468,4.481,9.09,6.663,4.606,4.59,4.24
Guatemala,"Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change",Annual,8.647,11.206,6.366,-0.577,7.878,-0.602,6.447,7.827,-5.729,-7.706,10.004,6.97,2.777,4.566,3.37,3.648,0.942,2.825,3.927,4.857,-5.769,19.457,4.907,5.43,8.973,5.821,5.76
Paraguay,"Gross capital formation, Percent of GDP",Annual,17.339,17.968,18.1,20.627,20.068,20.903,21.95,21.325,22.248,18.916,23.835,24.662,21.264,22.017,22.659,21.879,19.806,20.6,22.782,21.685,20.041,23.998,27.686,20.158,22.836,24.119,24.557
Uruguay,"Structural balance, General government, Percent",Annual,-3.581,-2.56,-1.063,0.699,1.079,0.522,1.137,0.192,-0.321,-0.4,-1.777,-1.631,-2.119,-3.179,-3.526,-2.555,-3.381,-3.711,-3.613,-3.821,-2.908,-1.133,-1.939,-2.541,-3.406,-2.757,-3.684
"Venezuela, República Bolivariana de","Gross capital formation, Percent of GDP",Annual,24.17,27.524,21.159,15.217,21.798,23.004,26.922,30.34,26.826,25.797,21.972,23.072,23.803,31.696,19.735,19.43,10.245,5.111,,,,,,,,,
Panama,Unemployment rate,Annual,13.526,14.026,13.489,13.042,11.749,9.781,8.662,6.372,5.579,6.557,6.516,4.481,4.05,4.098,4.823,5.052,5.494,6.13,5.956,7.07,18.548,11.293,9.917,7.431,9.526,8,7.7
Nicaragua,"Gross national savings, Percent of GDP",Annual,8.639,9.98,7.019,8.817,12.191,13.594,15.172,15.045,16.534,14.746,15.965,19.075,19.287,18.336,20.851,23.603,22.717,22.755,22.277,23.763,24.095,21.007,18.848,30.367,28.846,32.333,27.353
Nicaragua,"Gross debt, General government, Percent of GDP",Annual,95.219,87.476,110.385,109.54,84.048,66.608,51.156,30.916,25.999,29.258,30.347,28.794,27.852,28.835,28.69,28.911,30.923,34.654,39.091,44.204,49.16,48.433,45.919,42.295,39.15,39.278,40.092
Nicaragua,"Current account balance (credit less debit), Percent of GDP",Annual,-18.314,-15.375,-15.01,-13.257,-11.866,-12.396,-13.08,-16.259,-17.068,-8.455,-8.875,-11.908,-11.724,-12.569,-8.028,-9.873,-8.483,-7.16,-1.797,5.932,3.758,-2.785,-2.905,8.216,4.152,7.075,2.072
Nicaragua,"Gross domestic product (GDP), Constant prices, Percent change",Annual,4.102,2.961,0.754,2.521,5.351,4.244,3.805,5.076,3.436,-3.293,4.41,6.317,6.496,4.927,4.785,4.792,4.563,4.631,-3.363,-2.897,-2.237,10.454,3.55,4.428,3.588,2.994,2.882
Paraguay,"Structural balance, General government, Percent",Annual,,,-0.304,1.461,2.243,2.309,2.955,2.668,3.028,0.682,0.998,2.061,-0.469,-0.582,-0.416,-1.589,-0.096,-1.167,-1.654,-2.633,-4.942,-3.351,-2.278,-3.63,-1.833,-1.631,-1.364
Mexico,"Exports of goods and services, Volume, Free on board (FOB), Percent change",Annual,15.27,1.837,2.739,-1.772,5.762,6.372,8.698,2.52,-2.055,-10.104,23.08,9.287,7.918,2.702,7.572,7.029,3.067,3.198,6.527,1.164,-7.019,7.086,9.506,-7.235,3.327,6.59,0.986
Nicaragua,"Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change",Annual,-4.806,-0.423,2.801,2.208,8.024,8.505,22.529,12.528,10.031,-9.249,11.892,11.869,6.899,2.418,2.731,12.06,4.156,3.368,-14.871,-4.03,1.815,18.489,6.564,7.871,9.131,5.186,4.737
Panama,"Gross domestic product (GDP), Constant prices, Percent change",Annual,2.705,0.564,2.238,4.259,7.481,7.187,8.526,12.168,9.881,1.296,5.822,11.291,7.65,9.044,5.056,5.744,4.947,5.608,3.698,3.103,-17.821,16.467,11.039,7.166,2.748,4,4
Panama,"Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change",Annual,-9.926,-5.028,1.104,-1.491,12.047,8.025,3.886,19.486,14.508,-16.116,28.165,26.651,-0.229,-4.502,-2.148,-0.492,2.769,5.304,-0.128,-9.049,-28.575,29.535,12.085,11.044,-11.519,9.652,3.159
Panama,"Exports of goods and services, Volume, Free on board (FOB), Percent change",Annual,7.871,2.037,-5.814,0.078,15.541,15.784,14.222,16.973,12.235,-1.509,4.735,23.714,5.561,-5.529,-8.702,-4.841,-3.273,5.188,1.648,-0.021,-27.744,27.737,25.72,8.851,1.436,8.319,1.806
Mexico,Unemployment rate,Annual,2.2,2.768,2.978,3.4,3.919,3.523,3.563,3.653,3.9,5.385,5.306,5.192,4.933,4.942,4.836,4.347,3.873,3.423,3.324,3.49,4.409,4.135,3.271,2.794,2.669,2.946,3.068
Mexico,"All Items, Consumer price index (CPI), Period average, percent change",Annual,9.486,6.366,5.037,4.55,4.694,3.99,3.633,3.969,5.13,5.296,4.155,3.404,4.111,3.804,4.019,2.719,2.82,6.042,4.898,3.635,3.398,5.693,7.897,5.526,4.723,3.916,3.349
Paraguay,"Current account balance (credit less debit), Percent of GDP",Annual,-2.79,-0.376,8.613,0.221,-0.102,-0.629,1.244,4.362,0.36,1.741,-1.137,-0.678,-1.818,0.866,-0.787,-0.209,4.606,3.363,-0.224,-0.56,1.899,-1.075,-7.028,-0.41,-3.919,-3.534,-3.711
Peru,"Exports of goods and services, Volume, Free on board (FOB), Percent change",Annual,9.771,4.679,3.987,7.617,11.363,14.598,-0.755,1.878,7.787,-0.125,1.302,5.8,5.344,-3.152,-1.065,2.716,11.332,7.105,2.449,0.936,-13.985,12.081,2.546,3.857,5.233,1.774,2.358
Nicaragua,"Exports of goods and services, Volume, Free on board (FOB), Percent change",Annual,9.405,5.871,-3.049,9.091,17.07,7.23,41.468,9.69,7.999,0.628,15.769,8.703,12.244,4.195,6.322,-1.12,4.705,10.381,-1.321,5.483,-8.549,17.804,9.303,1.309,-3.794,-5.1,1.406
Panama,"Gross capital formation, Percent of GDP",Annual,28.412,20.605,18.399,22.421,22.029,21.799,23.245,35.204,41.197,31.223,37.235,37.695,42.666,43.337,43.911,42.479,40.249,41.544,41.199,38.067,23.955,31.299,35.855,37.493,33.534,33.702,34.047
Panama,"Structural balance, General government, Percent",Annual,1.621,-0.252,-0.5,-1.697,-4.094,-1.972,0.664,2.398,-0.927,-0.599,-0.909,-1.938,-1.686,-2.741,-3.393,-2.638,-2.254,-2.506,-3.345,-3.129,-5.364,-4.971,-3.765,-4.347,-7.327,-3.774,-3.489
Nicaragua,"Gross capital formation, Percent of GDP",Annual,26.953,25.355,22.029,22.074,24.057,25.99,28.253,31.304,33.602,23.2,24.84,30.983,31.012,30.905,28.879,33.477,31.2,29.915,24.075,17.831,20.337,23.792,21.753,22.151,24.694,25.258,25.28
Mexico,"Gross domestic product (GDP), Constant prices, Percent change",Annual,5.029,-0.451,-0.237,1.186,3.565,2.113,4.805,2.078,0.943,-6.295,4.971,3.444,3.553,0.852,2.504,2.702,1.772,1.872,1.972,-0.393,-8.354,6.048,3.71,3.354,1.427,0.99,1.544
Nicaragua,Unemployment rate,Annual,9.8,6.4,12.2,6.998,6.537,5.559,5.193,5.935,6.062,8.158,7.829,5.93,5.912,5.746,6.557,4.703,3.847,3.27,5.25,4.928,4.815,3.672,3.525,3.362,3.362,3.362,3.362
Panama,"Gross national savings, Percent of GDP",Annual,16.325,14.518,13.422,12.946,9.988,11.983,14.601,29.861,32.427,30.468,27.009,25.133,33.755,34.699,31.01,33.833,32.741,35.737,33.315,32.923,24.17,30.064,35.893,34.413,35.467,29.053,28.438
Mexico,"Gross capital formation, Percent of GDP",Annual,22.265,20.274,20.408,20.881,22.046,21.522,22.564,23.072,24.121,23.259,23.331,24.252,24.378,22.681,22.293,23.736,24.343,23.892,23.477,22.149,20.237,21.707,22.77,23.895,24.124,23.401,23.057
Nicaragua,"All Items, Consumer price index (CPI), Period average, percent change",Annual,11.547,7.357,3.75,5.302,8.47,9.599,9.14,11.127,19.826,3.687,5.455,8.082,7.194,7.136,6.036,3.997,3.524,3.851,4.947,5.376,3.682,4.928,10.47,8.443,4.636,2,2.7
Panama,"Current account balance (credit less debit), Percent of GDP",Annual,-5.392,-1.45,-0.826,-3.987,-6.61,-6.169,-2.421,-5.343,-8.77,-0.755,-10.227,-12.562,-8.911,-8.638,-12.901,-8.645,-7.508,-5.808,-7.884,-5.144,0.215,-1.235,0.038,-3.08,1.933,-0.906,-1.749
Paraguay,"Gross debt, General government, Percent of GDP",Annual,33.58,37.097,50.537,37.508,36.045,28.285,20.966,16.812,16.041,14.939,12.976,11.052,12.312,13.495,15.589,18.613,19.39,19.847,22.331,25.768,36.899,37.501,40.528,41.06,44.767,41.706,40.606
Antigua and Barbuda,"Gross domestic product (GDP), Constant prices, Percent change",Annual,6.204,-4.548,1.027,6.077,5.767,6.474,12.708,9.315,-0.014,-11.963,-7.841,-1.959,3.373,-0.601,2.198,1.422,4.12,2.713,6.712,3.172,-18.869,8.173,9.108,2.427,3.66,2.467,2.474
"Venezuela, República Bolivariana de","Gross domestic product (GDP), Constant prices, Percent change",Annual,3.687,3.394,-8.856,-7.755,18.287,10.318,9.872,8.754,5.278,-3.202,-1.489,4.176,5.626,1.343,-3.894,-6.221,-17.04,-15.671,-19.655,-27.658,-29.999,0.955,8.001,4.002,5.3,0.5,-3
Uruguay,"Gross capital formation, Percent of GDP",Annual,16.249,15.991,13.576,14.135,15.644,16.294,18.403,18.586,22.27,18.484,18.436,19.987,22.312,22.282,20.874,19.392,17.389,15.924,14.853,14.121,16.234,18.197,18.655,17.535,15.597,15.588,15.333
"Venezuela, República Bolivariana de","Current account balance (credit less debit), Percent of GDP",Annual,10.079,1.611,7.977,14.096,13.825,17.749,14.823,5.782,10.202,0.16,1.755,5.164,0.694,1.778,2.291,-12.795,-3.427,7.513,8.442,5.884,-3.228,-0.945,4.033,5.831,4.873,4.25,2.508
Peru,"All Items, Consumer price index (CPI), Period average, percent change",Annual,3.759,1.975,0.192,2.261,3.662,1.618,2.001,1.779,5.788,2.935,1.529,3.369,3.656,2.807,3.245,3.548,3.593,2.804,1.317,2.136,1.827,3.979,7.871,6.269,2.351,1.727,1.868
Paraguay,"Gross domestic product (GDP), Constant prices, Percent change",Annual,-2.314,-0.834,-0.021,4.321,4.057,2.133,4.807,5.422,6.496,-0.261,11.095,4.286,-0.708,8.293,5.301,2.957,4.268,4.81,3.204,-0.402,-0.82,4.017,0.176,4.999,4.25,4.4,3.7
Peru,"Gross debt, General government, Percent of GDP",Annual,44.909,43.841,45.463,49.376,46.738,40.359,34.94,31.87,28.127,28.181,25.107,23.108,20.663,19.902,20.46,23.689,23.932,24.799,25.689,26.501,34.289,35.544,33.477,32.431,32.151,32.126,33.638
Peru,"Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change",Annual,3.896,0.973,4.198,2.981,6.651,10.022,14.394,21.077,23.311,-15.504,25.567,11.342,11.801,4.58,-0.621,3.541,0.499,3.484,0.02,2.519,-9.448,14.748,2.426,-1.381,8.907,9.257,4.08
Peru,"Structural balance, General government, Percent",Annual,-1.972,-1.531,-1.141,-1.275,-0.993,-0.723,0.196,1.59,0.974,-0.729,-0.201,1.234,1.341,0.146,-0.088,-1.463,-1.787,-2.171,-2.075,-1.279,-6.488,-3.898,-2.162,-2.48,-3.56,-2.86,-2.885
Paraguay,"Gross national savings, Percent of GDP",Annual,14.549,17.592,26.713,20.848,19.966,20.274,23.195,25.687,22.608,20.657,22.698,23.984,19.446,22.883,21.872,21.669,24.412,23.963,22.558,21.126,21.941,22.923,20.659,19.749,18.917,20.586,20.846
Uruguay,"Gross debt, General government, Percent of GDP",Annual,30.487,39.41,90.097,91.915,73.676,66.173,61.055,52.811,46.214,46.176,40.853,41.259,49.812,49.976,51.098,57.76,56.401,55.821,57.889,59.628,68.219,64.079,59.934,64.002,68.689,66.611,68.255
Paraguay,"Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change",Annual,-13.822,-18.54,-23.381,8.21,16.296,3.555,13.711,21.163,29.43,-21.059,41.268,15.347,-10.436,6.849,-1.358,-15.645,-6.789,13.881,6.672,-8.782,-21.571,21.176,5.112,3.963,2.086,6.097,3.013
Uruguay,"Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change",Annual,,,,,,,,,,,,,,6.027,-0.277,-8.116,-10.335,3.934,0.269,-2.303,-11.667,18.349,14.027,0.471,-2.307,3.292,5.051
Peru,"Gross domestic product (GDP), Constant prices, Percent change",Annual,2.695,0.617,5.454,4.165,4.959,6.285,7.529,8.518,9.127,1.096,8.33,6.328,6.14,5.852,2.384,3.251,3.954,2.519,3.969,2.24,-10.938,13.367,2.81,-0.403,3.303,2.93,2.699
Uruguay,"Gross domestic product (GDP), Constant prices, Percent change",Annual,-1.93,-3.844,-7.732,0.805,5.004,7.46,4.099,6.542,7.176,4.243,7.803,5.162,3.538,4.638,3.239,0.371,1.69,1.741,0.165,0.928,-7.357,5.844,4.486,0.742,3.108,2.471,2.366
Uruguay,Unemployment rate,Annual,13.4,15.192,16.75,17.15,13.342,12.142,10.783,9.4,7.925,7.783,7.025,6.342,6.325,6.508,6.625,7.525,7.867,7.925,8.367,8.925,10.35,9.375,7.867,8.325,8.183,7.925,8
Peru,"Gross capital formation, Percent of GDP",Annual,17.443,16.506,16.682,17.227,16.121,15.387,18.799,22.267,26.785,20.889,24.687,23.986,24.042,25.628,24.687,24.281,22.757,21.324,21.759,21.337,19.612,21.938,21.911,19.222,19.516,19.006,19.355
